name,birth,height,weight,job,salary
Todd Hernandez,2007-09-03,198.0,101.3,Blockchain developer,106828.0
Kimberly Bryan,1975-04-07,176.4,68.9,Full stack developer,106318.0
Karen Ruiz,,186.7,83.9,Blockchain developer,121096.0
Christopher Fox,1985-08-17,174.1,73.8,Full stack developer,107402.0
Joseph Richmond,2018-11-30,178.4,78.2,Data scientist,126191.0
David Schwartz,1989-09-16,182.3,83.9,Full stack developer,113585.0
Lori Jarvis,1981-05-03,,42.9,Data scientist,90452.0
Cassandra Rasmussen,2015-02-16,177.5,74.2,Blockchain developer,124376.0
James Lee,2003-06-29,148.5,50.9,Full stack developer,94082.0
Christina Anderson,2012-08-25,171.0,58.1,Software developer,88393.0
Stephen Anderson,1978-03-21,175.7,83.1,Software developer,80826.0
Eduardo Gomez,1971-06-04,171.3,78.8,AI architect,131983.0
Veronica Patrick,1990-03-09,189.2,70.0,Software developer,84518.0
Jennifer Strong,1977-04-08,179.1,72.0,Data scientist,147099.0
Raymond Murray,1980-08-10,203.8,117.6,Data scientist,132451.0
Jason Martin,1984-11-10,197.4,90.6,Data scientist,136800.0
Paul Wiggins,2021-05-12,159.7,66.5,Project manager,80050.0
Christopher Burns,1974-01-26,186.2,94.2,Project manager,131996.0
Jason Thompson,1993-02-11,202.8,104.5,AI architect,131405.0
Michelle Skinner,1996-11-13,175.1,59.7,Software developer,92606.0
Todd Morrison,2006-03-18,162.5,61.5,Blockchain developer,158557.0
Christine Dickerson,2023-06-06,178.0,68.7,Software developer,73887.0
Paula Moreno,,169.7,69.7,Software developer,84952.0
John Mcpherson,1994-08-14,166.5,58.6,Full stack developer,108479.0
Melvin Todd,1980-04-25,178.0,76.6,Data scientist,135842.0
Kristopher Best,2019-07-02,147.2,48.1,Software developer,96164.0
Kimberly Harper,2010-12-31,195.3,79.6,Full stack developer,120570.0
Mrs. Michelle Sanders,1986-07-05,173.5,62.6,Full stack developer,101370.0
Leslie Pugh,1980-08-25,181.9,82.3,Full stack developer,130317.0
Geoffrey Moreno,1973-06-21,170.5,58.8,Project manager,112858.0
Adam Moore,1995-12-29,186.2,85.4,Data scientist,103273.0
Kim Hall,2002-09-19,192.6,63.8,Software developer,82312.0
Jordan Smith,2008-04-30,179.4,59.8,AI architect,131038.0
Richard Sanders,2014-08-27,,90.2,Project manager,127370.0
Matthew Thomas,1986-01-08,151.1,53.4,Blockchain developer,94835.0
Philip Brown,1979-11-10,155.8,50.6,Blockchain developer,108238.0
Diana Garcia,1972-02-14,171.3,61.3,Data scientist,
Brenda Morgan,2015-01-06,179.4,64.6,Software developer,97574.0
Justin White,2005-10-24,177.5,66.8,Software developer,98561.0
Julia Lewis,1976-02-28,171.7,64.1,Full stack developer,130327.0
Natalie Edwards,1974-09-21,183.5,79.4,Blockchain developer,118334.0
Nancy Wilcox,2023-04-16,194.7,80.2,Blockchain developer,47558.0
Gabriel Duncan,1996-03-20,158.6,54.3,Data scientist,173230.0
Matthew Yates,2018-01-27,141.5,44.5,Software developer,79928.0
Joshua Bradley,2013-10-14,172.5,66.0,Full stack developer,112408.0
Brenda Zimmerman,1976-11-02,162.0,59.0,AI architect,137852.0
Michelle Adams,2012-09-27,169.9,65.5,,102088.0
John Johnson,1986-01-10,166.4,47.9,Software developer,78533.0
Robert Johnson,2002-10-22,160.0,47.1,Software developer,107639.0
Aaron Petersen,2000-01-11,169.2,49.3,Data scientist,123334.0
Kelly Rhodes,1991-06-07,169.2,59.7,AI architect,104405.0
Julia Johnson,1992-11-18,177.6,54.9,Blockchain developer,126437.0
Jason Chavez,,215.0,85.8,Full stack developer,114558.0
Sheila Short,1985-04-15,170.4,68.3,Software developer,82137.0
James Mccormick,1994-12-22,179.6,95.0,Full stack developer,95442.0
Aaron Ramsey,1985-11-06,,56.6,Data scientist,155197.0
Stephanie Burns,1973-02-26,166.3,73.3,Software developer,101087.0
Hailey Rodriguez,1982-09-18,192.5,86.3,Software developer,96082.0
Larry Gilmore,1995-02-08,184.2,73.3,Blockchain developer,116225.0
April Davidson,1978-01-22,187.1,72.0,Full stack developer,120279.0
Kelly Foster,2018-04-21,175.2,82.9,Software developer,97208.0
Crystal Mueller,1972-03-17,151.6,37.6,,181546.0
Angel Parrish,1983-06-30,155.9,43.0,AI architect,130087.0
Allison Marshall,2005-08-02,150.5,53.4,Full stack developer,116082.0
Abigail Atkinson,1984-02-04,174.9,,Blockchain developer,156620.0
Jeffery White,1979-09-22,174.5,48.8,Full stack developer,97648.0
Eric Miller,1998-11-12,193.2,90.4,Data scientist,155612.0
David Garcia,2013-02-24,167.6,62.4,AI architect,
Terry Brown,1977-06-16,181.1,86.5,Software developer,87873.0
Dr. Lynn Duran,1976-09-12,181.6,66.4,AI architect,121068.0
Mr. Kyle Boyd,1972-11-30,155.4,57.9,Full stack developer,100407.0
Victoria Lyons,1997-03-25,185.0,92.7,Project manager,146169.0
Jonathan Hernandez,1977-11-12,169.2,55.5,Full stack developer,113635.0
Sherry Salas,1979-11-29,173.1,63.5,Full stack developer,102007.0
Traci Wagner,1981-05-05,189.4,65.7,Blockchain developer,104661.0
Brianna Boyer,2004-09-06,177.3,69.2,Software developer,81704.0
Daniel Smith,2021-01-18,174.8,86.3,Blockchain developer,
Brenda Eaton,1974-06-15,179.2,88.7,Data scientist,152601.0
Gregory Henry,2009-12-02,148.1,62.7,AI architect,93798.0
Elizabeth Bennett,1994-03-30,195.7,99.9,Data scientist,146104.0
Joshua Martin,1995-08-28,158.7,,Software developer,86495.0
Jesse Cook PhD,1993-07-22,184.2,68.1,Software developer,90053.0
Gabriella Rodriguez,2015-12-20,197.2,85.7,Software developer,93161.0
Christopher Carter,1983-12-16,185.8,84.6,Data scientist,114828.0
Darlene Galloway,2023-05-03,193.4,80.4,Full stack developer,107002.0
Brandon Smith,1974-05-04,142.6,44.2,,153548.0
Deborah Anderson,1992-07-29,187.3,83.6,Data scientist,110360.0
Richard Miller,1982-12-04,183.1,79.2,Software developer,82714.0
Joseph Johnson,2005-12-20,175.6,75.9,Full stack developer,126246.0
Kathy Sparks,2005-11-27,204.7,87.2,Blockchain developer,66362.0
Christopher Taylor,1990-04-23,189.2,69.7,Full stack developer,100119.0
Mark Tanner,2015-02-14,176.9,80.0,Data scientist,115906.0
Craig Clark,1986-10-13,176.4,86.2,Software developer,83623.0
Mike Harris,1987-11-11,183.0,86.0,Software developer,104778.0
Karen Rodriguez,1991-07-23,159.2,65.4,AI architect,122227.0
Luis West,1980-10-09,159.3,47.3,Software developer,93591.0
Brianna Reynolds,1972-10-26,,75.6,Blockchain developer,131182.0
Rachel Diaz,2011-10-20,172.5,64.4,Software developer,99486.0
Steven Wood,1979-03-30,161.3,58.7,Full stack developer,105671.0
Jennifer Garza,1984-08-02,165.7,54.7,Software developer,75762.0
Amanda Sharp MD,1973-10-17,169.9,59.3,Software developer,100660.0
James Jackson,1975-06-09,159.6,60.9,Blockchain developer,104349.0
Krista Jenkins,2012-04-29,176.0,86.0,Full stack developer,95872.0
Chris Boyd,2020-09-18,172.1,64.4,Software developer,88961.0
Denise Walls,2006-09-12,203.7,87.3,Project manager,103565.0
Nicholas Dean,1990-03-05,154.5,62.3,Project manager,98196.0
Calvin Simmons Jr.,1974-01-14,175.5,65.1,Software developer,79642.0
Mary Murphy,2016-04-19,183.8,61.4,Full stack developer,125021.0
Robert Diaz,1974-05-09,,69.9,Data scientist,120776.0
Kelly Burke,1989-01-31,179.8,91.6,Software developer,95845.0
Hector Santos,2023-06-27,166.1,71.8,Full stack developer,103767.0
Ronnie Graham,1981-08-26,172.5,72.0,Full stack developer,102336.0
